SNo,DAY,School,SchoolType,StartTime,AvgMaxDailyTemp,AvgMinDailyTemp,AvgIndoorRelativeHumidity,IndoorTempDuringSurvey,Grade,Age,Gender,FormalClothing,Pant,Trackpant,Halfshirt,Blazer,Jacket,Skirt,FullShirt,HalfSweater,Tshirt,Socks,Thermal,Vest,Shoes,FullSweater,Underwear,SwC,TSV,TPV,TA,TCV,TSL,MC
1,1,1,0,3,22.2,5.1,55.1,14.5,3,8,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0.36,0.03,1,-1,2,1,2,1,2
2,1,1,0,3,22.2,5.1,55.1,14.5,3,8,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0,0.03,1,-1,2,1,3,1,2
3,1,1,0,3,22.2,5.1,55.1,14.5,3,8,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0,0.03,2,0,1,1,2,3,4
4,1,1,0,3,22.2,5.1,55.1,14.5,3,10,0,0,0,0.28,0,0,0.36,0,0,0.22,0.17,0.03,0.17,0.14,0.02,0,0.03,2,0,0,1,2,2,4
5,1,1,0,3,22.2,5.1,55.1,14.5,3,9,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0,0.03,2,0,1,1,2,2,2
6,1,1,0,3,22.2,5.1,55.1,14.5,3,9,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0,0.03,2,1,0,1,2,2,2
7,1,1,0,3,22.2,5.1,55.1,14.5,3,8,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0.36,0.03,1,1,0,1,2,3,4
8,1,1,0,3,22.2,5.1,55.1,14.5,3,10,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0.36,0.03,1,0,0,1,3,3,2
9,1,1,0,3,22.2,5.1,55.1,14.5,3,8,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0,0.03,2,0,0,1,3,3,2
10,1,1,0,3,22.2,5.1,55.1,14.5,3,8,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0,0.02,0,0.03,2,0,1,1,3,3,2
11,1,1,0,3,22.2,5.1,55.1,14.5,3,8,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0,0.02,0.36,0.03,2,0,0,1,3,3,1
12,1,1,0,3,22.2,5.1,55.1,14.5,3,9,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0,0.03,2,1,1,1,3,2,4
13,1,1,0,3,22.2,5.1,55.1,14.5,3,8,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0,0.02,0,0.03,2,0,0,1,2,2,4
14,1,1,0,3,22.2,5.1,55.1,14.5,3,9,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0,0.02,0,0.03,2,0,0,1,3,3,1
15,1,1,0,3,22.2,5.1,55.1,14.5,3,9,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0.36,0.03,2,0,1,1,3,3,4
16,1,1,0,3,22.2,5.1,55.1,14.5,3,9,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0,0.02,0,0.03,2,0,0,1,2,2,4
17,1,1,0,3,22.2,5.1,55.1,14.5,3,9,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0,0.02,0.36,0.03,2,0,0,1,3,2,4
18,1,1,0,3,22.2,5.1,55.1,14.5,3,9,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0,0.02,0.36,0.03,2,0,0,1,3,2,4
19,1,1,0,3,22.2,5.1,55.1,14.5,3,8,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0,0.02,0,0.03,2,0,0,1,3,2,4
20,1,1,0,3,22.2,5.1,55.1,14.5,3,8,1,0,0,0.28,0,0,0.36,0,0,0.22,0.17,0.03,0.17,0.14,0.02,0,0.03,2,0,0,1,3,3,4
21,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0,0.02,0,0.03,3,0,0,1,3,3,4
22,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0,0.03,2,0,0,1,3,3,4
23,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0,0.03,2,0,0,1,3,3,4
24,1,1,0,4,22.2,5.1,44.23,17.5,4,11,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0,0.03,2,0,0,0,2,3,4
25,1,1,0,4,22.2,5.1,44.23,17.5,4,11,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0,0.03,2,0,0,1,2,3,4
26,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0,0.03,2,0,0,1,3,3,4
27,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0.36,0.03,2,0,0,1,3,3,4
28,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0,0.02,0.36,0.03,2,0,0,1,3,3,4
29,1,1,0,4,22.2,5.1,44.23,17.5,4,9,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0,0.03,1,0,0,1,3,3,4
30,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0.36,0.03,2,0,0,1,3,3,4
31,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,0,0,0.28,0,0,0.36,0,0,0.22,0.17,0.03,0,0,0.02,0,0.03,1,0,0,1,2,2,4
32,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0.36,0.03,2,0,0,1,3,3,4
33,1,1,0,4,22.2,5.1,44.23,17.5,4,9,1,0,0,0.28,0,0,0.36,0,0,0.22,0.17,0.03,0.17,0.14,0.02,0,0.03,2,0,0,1,3,3,4
34,1,1,0,4,22.2,5.1,44.23,17.5,4,9,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0.36,0.03,2,0,0,1,2,2,4
35,1,1,0,4,22.2,5.1,44.23,17.5,4,8,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0,0.03,2,0,0,1,2,2,4
36,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0,0.03,2,-1,1,1,3,3,4
37,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,0,0,0.28,0,0,0.36,0,0,0.22,0.17,0.03,0.17,0.14,0.02,0,0.03,2,0,0,1,3,3,4
38,1,1,0,4,22.2,5.1,44.23,17.5,4,8,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0,0.02,0.36,0.03,2,-1,1,1,2,2,4
39,1,1,0,4,22.2,5.1,44.23,17.5,4,8,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0,0.03,2,0,0,1,2,2,4
40,1,1,0,4,22.2,5.1,44.23,17.5,4,11,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0,0.03,2,0,0,0,2,3,4
41,1,1,0,4,22.2,5.1,44.23,17.5,4,11,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0,0.03,2,0,0,1,2,3,4
42,1,1,0,4,22.2,5.1,44.23,17.5,4,9,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0.36,0.03,2,0,1,1,2,2,4
43,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0.36,0.03,2,0,0,1,3,3,4
44,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0,0.02,0,0.03,2,0,0,1,3,2,4
45,1,1,0,4,22.2,5.1,44.23,17.5,4,8,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0,0.03,2,0,0,1,2,2,4
46,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0,0.02,0,0.03,2,0,0,1,3,2,4
47,1,1,0,4,22.2,5.1,44.23,17.5,4,9,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0.14,0.02,0.36,0.03,2,0,0,1,2,2,4
48,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,0,0,0.28,0,0,0.36,0,0,0.22,0.17,0.03,0.17,0.14,0.02,0,0.03,2,0,0,1,3,3,4
49,1,1,0,4,22.2,5.1,44.23,17.5,4,8,1,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0,0.14,0.02,0,0.03,2,0,0,1,2,2,4
50,1,1,0,4,22.2,5.1,44.23,17.5,4,9,0,0,0,0.28,0,0,0.36,0,0,0,0.17,0.03,0.17,0,0.02,0,0.03,2,0,1,1,2,2,4
