SNo,DAY,School,SchoolType,StartTime,AvgMaxDailyTemp,AvgMinDailyTemp,AvgIndoorRelativeHumidity,IndoorTempDuringSurvey,Grade,Age,Gender,TotalCLOwithChair,TSV,TPV,TA,TCV,TSL,MC,SwC
1,1,1,0,3,22.2,5.1,55.1,14.5,3,8,0,1.57,-1,2,1,2,1,2,1
2,1,1,0,3,22.2,5.1,55.1,14.5,3,8,0,1.21,-1,2,1,3,1,2,1
3,1,1,0,3,22.2,5.1,55.1,14.5,3,8,0,1.21,0,1,1,2,3,4,2
4,1,1,0,3,22.2,5.1,55.1,14.5,3,10,0,1.43,0,0,1,2,2,4,2
5,1,1,0,3,22.2,5.1,55.1,14.5,3,9,0,1.21,0,1,1,2,2,2,2
6,1,1,0,3,22.2,5.1,55.1,14.5,3,9,0,1.21,1,0,1,2,2,2,2
7,1,1,0,3,22.2,5.1,55.1,14.5,3,8,0,1.57,1,0,1,2,3,4,1
8,1,1,0,3,22.2,5.1,55.1,14.5,3,10,0,1.4,0,0,1,3,3,2,1
9,1,1,0,3,22.2,5.1,55.1,14.5,3,8,0,1.21,0,0,1,3,3,2,2
10,1,1,0,3,22.2,5.1,55.1,14.5,3,8,1,0.9,0,1,1,3,3,2,2
11,1,1,0,3,22.2,5.1,55.1,14.5,3,8,1,1.43,0,0,1,3,3,1,2
12,1,1,0,3,22.2,5.1,55.1,14.5,3,9,1,1.21,1,1,1,3,2,4,2
13,1,1,0,3,22.2,5.1,55.1,14.5,3,8,1,1.07,0,0,1,2,2,4,2
14,1,1,0,3,22.2,5.1,55.1,14.5,3,9,1,1.07,0,0,1,3,3,1,2
15,1,1,0,3,22.2,5.1,55.1,14.5,3,9,1,1.4,0,1,1,3,3,4,2
16,1,1,0,3,22.2,5.1,55.1,14.5,3,9,1,1.07,0,0,1,2,2,4,2
17,1,1,0,3,22.2,5.1,55.1,14.5,3,9,1,1.26,0,0,1,3,2,4,2
18,1,1,0,3,22.2,5.1,55.1,14.5,3,9,1,1.43,0,0,1,3,2,4,2
19,1,1,0,3,22.2,5.1,55.1,14.5,3,8,1,1.07,0,0,1,3,2,4,2
20,1,1,0,3,22.2,5.1,55.1,14.5,3,8,1,1.43,0,0,1,3,3,4,2
21,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,1.07,0,0,1,3,3,4,3
22,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,1.04,0,0,1,3,3,4,2
23,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,1.04,0,0,1,3,3,4,2
24,1,1,0,4,22.2,5.1,44.23,17.5,4,11,1,1.04,0,0,0,2,3,4,2
25,1,1,0,4,22.2,5.1,44.23,17.5,4,11,0,1.04,0,0,1,2,3,4,2
26,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,1.21,0,0,1,3,3,4,2
27,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,1.57,0,0,1,3,3,4,2
28,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,1.26,0,0,1,3,3,4,2
29,1,1,0,4,22.2,5.1,44.23,17.5,4,9,1,1.21,0,0,1,3,3,4,1
30,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,1.57,0,0,1,3,3,4,2
31,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,1.12,0,0,1,2,2,4,1
32,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,1.57,0,0,1,3,3,4,2
33,1,1,0,4,22.2,5.1,44.23,17.5,4,9,1,1.43,0,0,1,3,3,4,2
34,1,1,0,4,22.2,5.1,44.23,17.5,4,9,1,1.57,0,0,1,2,2,4,2
35,1,1,0,4,22.2,5.1,44.23,17.5,4,8,1,1.04,0,0,1,2,2,4,2
36,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,1.04,-1,1,1,3,3,4,2
37,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,1.43,0,0,1,3,3,4,2
38,1,1,0,4,22.2,5.1,44.23,17.5,4,8,0,1.26,-1,1,1,2,2,4,2
39,1,1,0,4,22.2,5.1,44.23,17.5,4,8,1,1.04,0,0,1,2,2,4,2
40,1,1,0,4,22.2,5.1,44.23,17.5,4,11,1,1.04,0,0,0,2,3,4,2
41,1,1,0,4,22.2,5.1,44.23,17.5,4,11,0,1.04,0,0,1,2,3,4,2
42,1,1,0,4,22.2,5.1,44.23,17.5,4,9,0,1.4,0,1,1,2,2,4,2
43,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,1.57,0,0,1,3,3,4,2
44,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,1.07,0,0,1,3,2,4,2
45,1,1,0,4,22.2,5.1,44.23,17.5,4,8,1,1.04,0,0,1,2,2,4,2
46,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,1.07,0,0,1,3,2,4,2
47,1,1,0,4,22.2,5.1,44.23,17.5,4,9,0,1.57,0,0,1,2,2,4,2
48,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,1.43,0,0,1,3,3,4,2
49,1,1,0,4,22.2,5.1,44.23,17.5,4,8,1,1.04,0,0,1,2,2,4,2
50,1,1,0,4,22.2,5.1,44.23,17.5,4,9,0,1.07,0,1,1,2,2,4,2
51,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,1.21,0,0,1,3,2,4,2
52,1,1,0,4,22.2,5.1,44.23,17.5,4,8,1,1.26,-1,1,1,2,2,4,2
53,1,1,0,4,22.2,5.1,44.23,17.5,4,9,1,1.62,-1,1,1,3,3,4,2
54,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,1.21,0,0,1,2,3,4,2
55,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,1.04,0,0,1,2,3,4,2
56,1,1,0,4,22.2,5.1,44.23,17.5,4,9,1,1.12,0,1,1,3,3,4,3
57,1,1,0,4,22.2,5.1,44.23,17.5,4,9,0,1.26,0,1,1,2,1,4,2
58,1,1,0,4,22.2,5.1,44.23,17.5,4,10,1,1.07,0,0,1,3,2,4,2
59,1,1,0,4,22.2,5.1,44.23,17.5,4,9,0,1.4,0,1,1,2,2,4,2
60,1,1,0,4,22.2,5.1,44.23,17.5,4,10,0,1.57,0,0,1,3,3,4,2
61,1,1,0,4,22.2,5.1,44.23,17.5,4,9,0,1.26,0,0,1,2,1,4,2
62,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.07,0,1,1,2,2,4,2
63,1,1,0,6,22.2,5.1,47.8,16.9,5,11,0,1.21,0,1,1,3,3,4,2
64,1,1,0,6,22.2,5.1,47.8,16.9,5,9,0,1.21,-1,1,1,2,2,4,2
65,1,1,0,6,22.2,5.1,47.8,16.9,5,9,0,1.21,0,0,1,3,3,4,2
66,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.57,-1,1,0,1,1,4,3
67,1,1,0,6,22.2,5.1,47.8,16.9,5,9,0,1.4,0,1,1,2,2,4,2
68,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.26,0,1,1,2,2,4,2
69,1,1,0,6,22.2,5.1,47.8,16.9,5,11,0,1.29,0,1,1,2,2,4,2
70,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.21,0,0,1,3,2,4,2
71,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.04,-2,1,1,2,2,4,3
72,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.57,-1,1,1,2,2,4,2
73,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.21,-1,1,1,2,2,4,2
74,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.21,0,1,1,2,2,4,2
75,1,1,0,6,22.2,5.1,47.8,16.9,5,10,0,1.07,-1,1,1,2,1,4,2
