Day,School,SchoolType,StartTime,IndoorTempDuringSurvey,AvgIndoorRelativeHumidity,IndoorAirSpeed,MaxOutdoorDailyTemp,MinOutdoorDailyTemp,AvgOutdoorDailyTemp,AvgDailyRainfall,AvgOutdoorRelativeHumidity,Grade,Age,Gender,TotalCLO,FanAtHome,CoolerAtHome,AcAtHome,TSV,TPV,TCV,TA,TSL,SWC,FSP,Sweating,FanSatisfaction,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,0,0.38,1,1,0,3,-1,1,1,-1,2,2,0,1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,1,0.44,1,1,0,2,-1,1,1,-1,2,1,0,1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,0,0.38,0,1,0,3,-1,1,1,-1,2,1,0,1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,9,0,0.38,1,0,0,2,0,1,1,2,2,2,0,2,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,1,0.44,0,1,0,2,0,2,1,2,2,1,0,2,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,0,0.52,1,0,0,2,0,1,1,-1,3,1,0,1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,7,0,0.52,1,0,0,2,-1,1,1,1,2,1,1,1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,1,0.44,0,1,0,3,-2,1,1,2,2,1,0,2,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,1,0.44,0,1,0,2,-2,1,1,-1,2,1,0,1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,0,0.38,0,1,0,0,-2,2,0,2,1,1,0,-1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,1,0.44,0,0,1,3,-2,-1,0,-1,3,2,0,1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,1,0.44,1,0,0,1,0,2,1,1,2,1,1,1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,7,0,0.52,0,1,0,2,-1,1,1,-2,2,2,1,-1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,0,0.52,1,0,0,2,-2,1,1,-1,2,1,0,1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,1,0.44,1,1,0,3,-2,2,1,1,2,2,0,1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,0,0.52,1,0,0,2,-1,1,1,1,2,1,1,1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,9,0,0.52,1,0,0,2,-2,2,1,1,2,1,0,1,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,7,0,0.52,1,1,0,3,-1,1,1,2,2,2,0,-2,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,8,1,0.44,1,1,0,3,-1,2,1,-1,2,2,0,2,
1,6,0,8,33.3,28.3,1.03,39.7,20.9,30.8,0.0,42.4,3,9,1,0.44,1,1,0,3,0,1,0,-1,1,2,0,-1,
