Index,DAY,School,SchoolType,StartTime,AvgMaxDailyTemp,AvgMinDailyTemp,AvgIndoorRelativeHumidity,IndoorTempDuringSurvey,Grade,Age,Gender,FormalClothing,TotalCLOwithChair,SwC,MC,TCV
939,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,5.0,10.0,0.0,1.0,1.16,1.0,4.0,
0,1.0,3.0,1.0,3.0,22.4,10.1,57.4,17.0,5.0,10.0,0.0,1.0,1.16,1.0,4.0,2.0
1,1.0,3.0,1.0,3.0,22.4,10.1,61.7,17.6,5.0,10.0,0.0,1.0,1.16,1.0,4.0,2.0
2,1.0,3.0,1.0,3.0,22.4,10.1,54.4,15.8,5.0,10.0,0.0,1.0,1.16,1.0,4.0,2.0
3,1.0,3.0,1.0,3.0,22.4,10.1,54.3,15.8,5.0,10.0,0.0,1.0,1.16,1.0,4.0,2.0
183,2.0,1.0,0.0,5.0,20.5,5.0,57.53,15.3,5.0,9.0,0.0,0.0,1.04,2.0,4.0,
0,2.0,1.0,0.0,5.0,20.5,5.0,70.9,15.8,5.0,9.0,0.0,0.0,1.04,2.0,4.0,2.0
1,2.0,1.0,0.0,5.0,20.5,5.0,70.0,15.3,5.0,9.0,0.0,0.0,1.04,2.0,4.0,2.0
2,2.0,1.0,0.0,5.0,20.5,5.0,59.4,15.3,5.0,9.0,0.0,0.0,1.04,2.0,4.0,2.0
3,2.0,1.0,0.0,5.0,20.5,5.0,45.0,15.3,5.0,9.0,0.0,0.0,1.04,2.0,4.0,2.0
2020,2.0,5.0,1.0,3.0,20.6,4.6,52.4,14.9,5.0,11.0,1.0,0.0,1.57,1.0,1.0,
0,2.0,5.0,1.0,3.0,20.6,4.6,63.2,14.9,5.0,11.0,1.0,0.0,1.57,1.0,1.0,2.0
1,2.0,5.0,1.0,3.0,20.6,4.6,65.2,14.3,5.0,11.0,1.0,0.0,1.57,1.0,1.0,2.0
2,2.0,5.0,1.0,3.0,20.6,4.6,64.1,16.7,5.0,11.0,1.0,0.0,1.57,1.0,1.0,2.0
3,2.0,5.0,1.0,3.0,20.6,4.6,73.9,13.1,5.0,11.0,1.0,0.0,1.57,1.0,1.0,2.0
260,3.0,1.0,0.0,3.0,22.2,5.2,60.4,14.4,4.0,9.0,1.0,0.0,1.26,2.0,4.0,
0,3.0,1.0,0.0,3.0,22.2,5.2,60.4,13.6,4.0,9.0,1.0,0.0,1.26,2.0,4.0,2.0
1,3.0,1.0,0.0,3.0,22.2,5.2,54.8,13.0,4.0,9.0,1.0,0.0,1.26,2.0,4.0,2.0
2,3.0,1.0,0.0,3.0,22.2,5.2,74.4,14.4,4.0,9.0,1.0,0.0,1.26,2.0,4.0,2.0
3,3.0,1.0,0.0,3.0,22.2,5.2,45.6,13.0,4.0,9.0,1.0,0.0,1.26,2.0,4.0,2.0
1266,4.0,3.0,1.0,1.0,17.6,8.4,64.0,14.1,3.0,8.0,0.0,1.0,1.46,2.0,4.0,
0,4.0,3.0,1.0,1.0,17.6,8.4,73.7,14.1,3.0,8.0,0.0,1.0,1.46,2.0,4.0,2.0
1,4.0,3.0,1.0,1.0,17.6,8.4,55.6,16.9,3.0,8.0,0.0,1.0,1.46,2.0,4.0,2.0
2,4.0,3.0,1.0,1.0,17.6,8.4,49.4,14.3,3.0,8.0,0.0,1.0,1.46,2.0,4.0,2.0
3,4.0,3.0,1.0,1.0,17.6,8.4,70.2,14.1,3.0,8.0,0.0,1.0,1.46,2.0,4.0,2.0
38,1.0,1.0,0.0,4.0,22.2,5.1,44.23,17.5,4.0,8.0,0.0,0.0,1.26,2.0,4.0,
0,1.0,1.0,0.0,4.0,22.2,5.1,50.7,13.8,4.0,8.0,0.0,0.0,1.26,2.0,4.0,2.0
1,1.0,1.0,0.0,4.0,22.2,5.1,74.4,17.5,4.0,8.0,0.0,0.0,1.26,2.0,4.0,2.0
2,1.0,1.0,0.0,4.0,22.2,5.1,54.0,14.5,4.0,8.0,0.0,0.0,1.26,2.0,4.0,2.0
3,1.0,1.0,0.0,4.0,22.2,5.1,44.3,15.9,4.0,8.0,0.0,0.0,1.26,2.0,4.0,2.0
795,4.0,2.0,1.0,1.0,24.2,6.0,60.3,15.8,3.0,10.0,0.0,0.0,0.9,2.0,2.0,
0,4.0,2.0,1.0,1.0,24.2,6.0,69.4,17.1,3.0,10.0,0.0,0.0,0.9,2.0,2.0,2.0
1,4.0,2.0,1.0,1.0,24.2,6.0,66.8,16.5,3.0,10.0,0.0,0.0,0.9,2.0,2.0,2.0
2,4.0,2.0,1.0,1.0,24.2,6.0,75.2,15.7,3.0,10.0,0.0,0.0,0.9,2.0,2.0,2.0
3,4.0,2.0,1.0,1.0,24.2,6.0,68.8,13.8,3.0,10.0,0.0,0.0,0.9,2.0,2.0,2.0
492,5.0,1.0,0.0,2.0,24.2,6.0,58.9,15.6,4.0,9.0,0.0,0.0,1.26,2.0,4.0,
0,5.0,1.0,0.0,2.0,24.2,6.0,71.4,13.9,4.0,9.0,0.0,0.0,1.26,2.0,4.0,2.0
1,5.0,1.0,0.0,2.0,24.2,6.0,44.8,14.9,4.0,9.0,0.0,0.0,1.26,2.0,4.0,2.0
2,5.0,1.0,0.0,2.0,24.2,6.0,62.6,15.6,4.0,9.0,0.0,0.0,1.26,2.0,4.0,2.0
3,5.0,1.0,0.0,2.0,24.2,6.0,60.2,15.6,4.0,9.0,0.0,0.0,1.26,2.0,4.0,2.0
1582,3.0,4.0,1.0,1.0,20.0,8.8,60.5,13.6,3.0,9.0,0.0,1.0,1.5,2.0,4.0,
0,3.0,4.0,1.0,1.0,20.0,8.8,69.3,14.8,3.0,9.0,0.0,1.0,1.5,2.0,4.0,2.0
1,3.0,4.0,1.0,1.0,20.0,8.8,50.5,13.4,3.0,9.0,0.0,1.0,1.5,2.0,4.0,2.0
2,3.0,4.0,1.0,1.0,20.0,8.8,54.2,13.6,3.0,9.0,0.0,1.0,1.5,2.0,4.0,2.0
3,3.0,4.0,1.0,1.0,20.0,8.8,67.2,13.6,3.0,9.0,0.0,1.0,1.5,2.0,4.0,2.0
899,1.0,3.0,1.0,2.0,22.4,10.1,48.6,17.0,4.0,10.0,1.0,1.0,1.69,2.0,4.0,
0,1.0,3.0,1.0,2.0,22.4,10.1,61.7,16.2,4.0,10.0,1.0,1.0,1.69,2.0,4.0,2.0
1,1.0,3.0,1.0,2.0,22.4,10.1,74.4,17.0,4.0,10.0,1.0,1.0,1.69,2.0,4.0,2.0
2,1.0,3.0,1.0,2.0,22.4,10.1,57.1,17.0,4.0,10.0,1.0,1.0,1.69,2.0,4.0,2.0
3,1.0,3.0,1.0,2.0,22.4,10.1,60.8,16.9,4.0,10.0,1.0,1.0,1.69,2.0,4.0,2.0
972,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,5.0,11.0,1.0,1.0,1.69,2.0,4.0,
0,1.0,3.0,1.0,3.0,22.4,10.1,49.3,16.8,5.0,11.0,1.0,1.0,1.69,2.0,4.0,2.0
1,1.0,3.0,1.0,3.0,22.4,10.1,68.8,15.9,5.0,11.0,1.0,1.0,1.69,2.0,4.0,2.0
2,1.0,3.0,1.0,3.0,22.4,10.1,68.4,15.8,5.0,11.0,1.0,1.0,1.69,2.0,4.0,2.0
3,1.0,3.0,1.0,3.0,22.4,10.1,60.2,17.0,5.0,11.0,1.0,1.0,1.69,2.0,4.0,2.0
1376,4.0,3.0,1.0,2.0,17.6,8.4,69.9,13.4,5.0,10.0,1.0,1.0,1.38,2.0,4.0,
0,4.0,3.0,1.0,2.0,17.6,8.4,49.3,15.4,5.0,10.0,1.0,1.0,1.38,2.0,4.0,2.0
1,4.0,3.0,1.0,2.0,17.6,8.4,69.9,13.5,5.0,10.0,1.0,1.0,1.38,2.0,4.0,2.0
2,4.0,3.0,1.0,2.0,17.6,8.4,69.9,16.2,5.0,10.0,1.0,1.0,1.38,2.0,4.0,2.0
3,4.0,3.0,1.0,2.0,17.6,8.4,75.1,15.6,5.0,10.0,1.0,1.0,1.38,2.0,4.0,2.0
1479,2.0,4.0,1.0,1.0,19.6,6.6,59.6,14.8,3.0,8.0,1.0,1.0,1.69,2.0,4.0,
0,2.0,4.0,1.0,1.0,19.6,6.6,74.5,16.8,3.0,8.0,1.0,1.0,1.69,2.0,4.0,2.0
1,2.0,4.0,1.0,1.0,19.6,6.6,59.1,13.3,3.0,8.0,1.0,1.0,1.69,2.0,4.0,2.0
2,2.0,4.0,1.0,1.0,19.6,6.6,56.9,14.8,3.0,8.0,1.0,1.0,1.69,2.0,4.0,2.0
3,2.0,4.0,1.0,1.0,19.6,6.6,62.1,13.4,3.0,8.0,1.0,1.0,1.69,2.0,4.0,2.0
192,2.0,1.0,0.0,5.0,20.5,5.0,57.53,15.3,5.0,9.0,0.0,0.0,1.26,2.0,4.0,
0,2.0,1.0,0.0,5.0,20.5,5.0,45.1,15.4,5.0,9.0,0.0,0.0,1.26,2.0,4.0,2.0
1,2.0,1.0,0.0,5.0,20.5,5.0,50.8,15.3,5.0,9.0,0.0,0.0,1.26,2.0,4.0,2.0
2,2.0,1.0,0.0,5.0,20.5,5.0,66.1,13.1,5.0,9.0,0.0,0.0,1.26,2.0,4.0,2.0
3,2.0,1.0,0.0,5.0,20.5,5.0,49.7,16.7,5.0,9.0,0.0,0.0,1.26,2.0,4.0,2.0
1389,1.0,4.0,1.0,3.0,22.4,4.7,72.0,14.5,3.0,9.0,1.0,1.0,1.5,2.0,4.0,
0,1.0,4.0,1.0,3.0,22.4,4.7,64.9,17.2,3.0,9.0,1.0,1.0,1.5,2.0,4.0,2.0
1,1.0,4.0,1.0,3.0,22.4,4.7,44.3,16.8,3.0,9.0,1.0,1.0,1.5,2.0,4.0,2.0
2,1.0,4.0,1.0,3.0,22.4,4.7,63.5,15.0,3.0,9.0,1.0,1.0,1.5,2.0,4.0,2.0
3,1.0,4.0,1.0,3.0,22.4,4.7,58.7,16.3,3.0,9.0,1.0,1.0,1.5,2.0,4.0,2.0
1433,1.0,4.0,1.0,4.0,22.4,4.7,65.2,14.4,4.0,10.0,1.0,1.0,1.69,2.0,3.0,
0,1.0,4.0,1.0,4.0,22.4,4.7,67.7,14.3,4.0,10.0,1.0,1.0,1.69,2.0,3.0,2.0
1,1.0,4.0,1.0,4.0,22.4,4.7,47.6,13.4,4.0,10.0,1.0,1.0,1.69,2.0,3.0,2.0
2,1.0,4.0,1.0,4.0,22.4,4.7,61.6,14.4,4.0,10.0,1.0,1.0,1.69,2.0,3.0,2.0
3,1.0,4.0,1.0,4.0,22.4,4.7,56.4,17.3,4.0,10.0,1.0,1.0,1.69,2.0,3.0,2.0
732,3.0,2.0,1.0,1.0,22.9,6.6,57.2,14.1,4.0,9.0,1.0,1.0,1.19,2.0,4.0,
0,3.0,2.0,1.0,1.0,22.9,6.6,65.8,15.8,4.0,9.0,1.0,1.0,1.19,2.0,4.0,2.0
1,3.0,2.0,1.0,1.0,22.9,6.6,51.9,15.3,4.0,9.0,1.0,1.0,1.19,2.0,4.0,2.0
2,3.0,2.0,1.0,1.0,22.9,6.6,72.5,17.1,4.0,9.0,1.0,1.0,1.19,2.0,4.0,2.0
3,3.0,2.0,1.0,1.0,22.9,6.6,57.0,14.1,4.0,9.0,1.0,1.0,1.19,2.0,4.0,2.0
136,2.0,1.0,0.0,5.0,20.5,5.0,66.39,15.1,4.0,9.0,0.0,0.0,0.9,2.0,4.0,
0,2.0,1.0,0.0,5.0,20.5,5.0,44.2,15.5,4.0,9.0,0.0,0.0,0.9,2.0,4.0,2.0
1,2.0,1.0,0.0,5.0,20.5,5.0,54.9,16.3,4.0,9.0,0.0,0.0,0.9,2.0,4.0,2.0
2,2.0,1.0,0.0,5.0,20.5,5.0,50.6,13.8,4.0,9.0,0.0,0.0,0.9,2.0,4.0,2.0
3,2.0,1.0,0.0,5.0,20.5,5.0,51.0,13.3,4.0,9.0,0.0,0.0,0.9,2.0,4.0,2.0
1283,4.0,3.0,1.0,1.0,17.6,8.4,64.0,14.1,3.0,9.0,1.0,1.0,1.69,2.0,4.0,
0,4.0,3.0,1.0,1.0,17.6,8.4,69.7,16.6,3.0,9.0,1.0,1.0,1.69,2.0,4.0,2.0
1,4.0,3.0,1.0,1.0,17.6,8.4,75.1,14.1,3.0,9.0,1.0,1.0,1.69,2.0,4.0,2.0
2,4.0,3.0,1.0,1.0,17.6,8.4,70.7,13.1,3.0,9.0,1.0,1.0,1.69,2.0,4.0,2.0
3,4.0,3.0,1.0,1.0,17.6,8.4,75.0,17.1,3.0,9.0,1.0,1.0,1.69,2.0,4.0,2.0
304,3.0,1.0,0.0,4.0,22.2,5.2,58.2,14.9,5.0,11.0,0.0,0.0,1.21,2.0,4.0,
0,3.0,1.0,0.0,4.0,22.2,5.2,57.5,15.3,5.0,11.0,0.0,0.0,1.21,2.0,4.0,2.0
