Index,DAY,School,SchoolType,StartTime,AvgMaxDailyTemp,AvgMinDailyTemp,AvgIndoorRelativeHumidity,IndoorTempDuringSurvey,Age,Gender,FormalClothing,TotalCLOwithChair,SwC,MC,TCV
939,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,10.0,0.0,1.0,1.16,1.0,4.0,
0,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,8.0,0.0,1.0,2.03,1.0,4.0,2.0
1,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,10.0,0.0,1.0,1.65,1.0,4.0,2.0
2,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,11.0,0.0,1.0,1.31,1.0,4.0,2.0
3,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,10.0,0.0,1.0,1.64,1.0,4.0,2.0
183,2.0,1.0,0.0,5.0,20.5,5.0,57.53,15.3,9.0,0.0,0.0,1.04,2.0,4.0,
0,2.0,1.0,0.0,5.0,20.5,5.0,57.53,15.3,7.0,0.0,0.0,1.16,2.0,4.0,2.0
1,2.0,1.0,0.0,5.0,20.5,5.0,57.53,15.3,10.0,0.0,0.0,1.59,2.0,4.0,2.0
2,2.0,1.0,0.0,5.0,20.5,5.0,57.53,15.3,10.0,0.0,0.0,1.57,2.0,4.0,2.0
3,2.0,1.0,0.0,5.0,20.5,5.0,57.53,15.3,11.0,0.0,0.0,1.53,2.0,4.0,2.0
2020,2.0,5.0,1.0,3.0,20.6,4.6,52.4,14.9,11.0,1.0,0.0,1.57,1.0,1.0,
0,2.0,5.0,1.0,3.0,20.6,4.6,52.4,14.9,10.0,1.0,0.0,1.69,1.0,1.0,2.0
1,2.0,5.0,1.0,3.0,20.6,4.6,52.4,14.9,11.0,1.0,0.0,1.18,1.0,1.0,2.0
2,2.0,5.0,1.0,3.0,20.6,4.6,52.4,14.9,11.0,1.0,0.0,1.04,1.0,1.0,2.0
3,2.0,5.0,1.0,3.0,20.6,4.6,52.4,14.9,11.0,1.0,0.0,1.78,1.0,1.0,2.0
260,3.0,1.0,0.0,3.0,22.2,5.2,60.4,14.4,9.0,1.0,0.0,1.26,2.0,4.0,
0,3.0,1.0,0.0,3.0,22.2,5.2,60.4,14.4,8.0,1.0,0.0,1.08,2.0,4.0,2.0
1,3.0,1.0,0.0,3.0,22.2,5.2,60.4,14.4,8.0,1.0,0.0,1.09,2.0,4.0,2.0
2,3.0,1.0,0.0,3.0,22.2,5.2,60.4,14.4,8.0,1.0,0.0,1.65,2.0,4.0,2.0
