Index,DAY,School,SchoolType,StartTime,AvgMaxDailyTemp,AvgMinDailyTemp,AvgIndoorRelativeHumidity,IndoorTempDuringSurvey,Grade,Age,Gender,FormalClothing,TotalCLOwithChair,SwC,MC,TSV
939,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,5.0,10.0,0.0,1.0,1.16,1.0,4.0,
0,1.0,3.0,1.0,3.0,22.4,10.1,71.6,14.8,5.0,10.0,0.0,1.0,1.16,1.0,4.0,0.0
1,1.0,3.0,1.0,3.0,22.4,10.1,56.9,14.3,5.0,10.0,0.0,1.0,1.16,1.0,4.0,0.0
2,1.0,3.0,1.0,3.0,22.4,10.1,44.7,17.0,5.0,10.0,0.0,1.0,1.16,1.0,4.0,0.0
3,1.0,3.0,1.0,3.0,22.4,10.1,49.3,17.0,5.0,10.0,0.0,1.0,1.16,1.0,4.0,0.0
183,2.0,1.0,0.0,5.0,20.5,5.0,57.53,15.3,5.0,9.0,0.0,0.0,1.04,2.0,4.0,
0,2.0,1.0,0.0,5.0,20.5,5.0,48.8,14.8,5.0,9.0,0.0,0.0,1.04,2.0,4.0,0.0
1,2.0,1.0,0.0,5.0,20.5,5.0,62.5,15.1,5.0,9.0,0.0,0.0,1.04,2.0,4.0,0.0
2,2.0,1.0,0.0,5.0,20.5,5.0,46.1,13.2,5.0,9.0,0.0,0.0,1.04,2.0,4.0,0.0
3,2.0,1.0,0.0,5.0,20.5,5.0,74.2,12.9,5.0,9.0,0.0,0.0,1.04,2.0,4.0,0.0
2020,2.0,5.0,1.0,3.0,20.6,4.6,52.4,14.9,5.0,11.0,1.0,0.0,1.57,1.0,1.0,
0,2.0,5.0,1.0,3.0,20.6,4.6,50.9,14.9,5.0,11.0,1.0,0.0,1.57,1.0,1.0,0.0
1,2.0,5.0,1.0,3.0,20.6,4.6,72.1,14.9,5.0,11.0,1.0,0.0,1.57,1.0,1.0,0.0
2,2.0,5.0,1.0,3.0,20.6,4.6,72.2,14.9,5.0,11.0,1.0,0.0,1.57,1.0,1.0,0.0
3,2.0,5.0,1.0,3.0,20.6,4.6,53.3,15.8,5.0,11.0,1.0,0.0,1.57,1.0,1.0,0.0
260,3.0,1.0,0.0,3.0,22.2,5.2,60.4,14.4,4.0,9.0,1.0,0.0,1.26,2.0,4.0,
0,3.0,1.0,0.0,3.0,22.2,5.2,54.5,14.9,4.0,9.0,1.0,0.0,1.26,2.0,4.0,0.0
1,3.0,1.0,0.0,3.0,22.2,5.2,62.6,15.0,4.0,9.0,1.0,0.0,1.26,2.0,4.0,0.0
2,3.0,1.0,0.0,3.0,22.2,5.2,47.9,14.4,4.0,9.0,1.0,0.0,1.26,2.0,4.0,0.0
3,3.0,1.0,0.0,3.0,22.2,5.2,67.2,17.3,4.0,9.0,1.0,0.0,1.26,2.0,4.0,0.0
1266,4.0,3.0,1.0,1.0,17.6,8.4,64.0,14.1,3.0,8.0,0.0,1.0,1.46,2.0,4.0,
0,4.0,3.0,1.0,1.0,17.6,8.4,73.2,13.1,3.0,8.0,0.0,1.0,1.46,2.0,4.0,0.0
1,4.0,3.0,1.0,1.0,17.6,8.4,63.7,15.8,3.0,8.0,0.0,1.0,1.46,2.0,4.0,0.0
2,4.0,3.0,1.0,1.0,17.6,8.4,46.7,14.2,3.0,8.0,0.0,1.0,1.46,2.0,4.0,0.0
3,4.0,3.0,1.0,1.0,17.6,8.4,66.3,14.1,3.0,8.0,0.0,1.0,1.46,2.0,4.0,0.0
38,1.0,1.0,0.0,4.0,22.2,5.1,44.23,17.5,4.0,8.0,0.0,0.0,1.26,2.0,4.0,
0,1.0,1.0,0.0,4.0,22.2,5.1,44.23,14.0,4.0,8.0,0.0,0.0,1.26,2.0,4.0,0.0
1,1.0,1.0,0.0,4.0,22.2,5.1,72.4,12.9,4.0,8.0,0.0,0.0,1.26,2.0,4.0,0.0
2,1.0,1.0,0.0,4.0,22.2,5.1,44.23,14.1,4.0,8.0,0.0,0.0,1.26,2.0,4.0,0.0
3,1.0,1.0,0.0,4.0,22.2,5.1,55.8,12.9,4.0,8.0,0.0,0.0,1.26,2.0,4.0,0.0
795,4.0,2.0,1.0,1.0,24.2,6.0,60.3,15.8,3.0,10.0,0.0,0.0,0.9,2.0,2.0,
0,4.0,2.0,1.0,1.0,24.2,6.0,65.3,15.8,3.0,10.0,0.0,0.0,0.9,2.0,2.0,0.0
1,4.0,2.0,1.0,1.0,24.2,6.0,70.9,13.5,3.0,10.0,0.0,0.0,0.9,2.0,2.0,0.0
2,4.0,2.0,1.0,1.0,24.2,6.0,60.3,15.8,3.0,10.0,0.0,0.0,0.9,2.0,2.0,0.0
3,4.0,2.0,1.0,1.0,24.2,6.0,66.7,16.5,3.0,10.0,0.0,0.0,0.9,2.0,2.0,0.0
492,5.0,1.0,0.0,2.0,24.2,6.0,58.9,15.6,4.0,9.0,0.0,0.0,1.26,2.0,4.0,
0,5.0,1.0,0.0,2.0,24.2,6.0,68.0,15.6,4.0,9.0,0.0,0.0,1.26,2.0,4.0,0.0
1,5.0,1.0,0.0,2.0,24.2,6.0,58.6,14.2,4.0,9.0,0.0,0.0,1.26,2.0,4.0,0.0
2,5.0,1.0,0.0,2.0,24.2,6.0,45.9,17.1,4.0,9.0,0.0,0.0,1.26,2.0,4.0,0.0
3,5.0,1.0,0.0,2.0,24.2,6.0,52.9,15.1,4.0,9.0,0.0,0.0,1.26,2.0,4.0,0.0
1582,3.0,4.0,1.0,1.0,20.0,8.8,60.5,13.6,3.0,9.0,0.0,1.0,1.5,2.0,4.0,
0,3.0,4.0,1.0,1.0,20.0,8.8,56.5,17.0,3.0,9.0,0.0,1.0,1.5,2.0,4.0,0.0
1,3.0,4.0,1.0,1.0,20.0,8.8,49.0,13.6,3.0,9.0,0.0,1.0,1.5,2.0,4.0,0.0
2,3.0,4.0,1.0,1.0,20.0,8.8,52.6,13.6,3.0,9.0,0.0,1.0,1.5,2.0,4.0,0.0
3,3.0,4.0,1.0,1.0,20.0,8.8,60.5,17.6,3.0,9.0,0.0,1.0,1.5,2.0,4.0,0.0
899,1.0,3.0,1.0,2.0,22.4,10.1,48.6,17.0,4.0,10.0,1.0,1.0,1.69,2.0,4.0,
0,1.0,3.0,1.0,2.0,22.4,10.1,66.8,14.7,4.0,10.0,1.0,1.0,1.69,2.0,4.0,0.0
1,1.0,3.0,1.0,2.0,22.4,10.1,65.5,17.0,4.0,10.0,1.0,1.0,1.69,2.0,4.0,0.0
2,1.0,3.0,1.0,2.0,22.4,10.1,65.0,15.0,4.0,10.0,1.0,1.0,1.69,2.0,4.0,0.0
3,1.0,3.0,1.0,2.0,22.4,10.1,48.6,14.7,4.0,10.0,1.0,1.0,1.69,2.0,4.0,0.0
972,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.0,5.0,11.0,1.0,1.0,1.69,2.0,4.0,
0,1.0,3.0,1.0,3.0,22.4,10.1,75.2,17.0,5.0,11.0,1.0,1.0,1.69,2.0,4.0,0.0
1,1.0,3.0,1.0,3.0,22.4,10.1,46.3,17.2,5.0,11.0,1.0,1.0,1.69,2.0,4.0,0.0
2,1.0,3.0,1.0,3.0,22.4,10.1,65.7,15.6,5.0,11.0,1.0,1.0,1.69,2.0,4.0,0.0
3,1.0,3.0,1.0,3.0,22.4,10.1,52.7,15.0,5.0,11.0,1.0,1.0,1.69,2.0,4.0,0.0
1376,4.0,3.0,1.0,2.0,17.6,8.4,69.9,13.4,5.0,10.0,1.0,1.0,1.38,2.0,4.0,
0,4.0,3.0,1.0,2.0,17.6,8.4,51.8,13.2,5.0,10.0,1.0,1.0,1.38,2.0,4.0,0.0
1,4.0,3.0,1.0,2.0,17.6,8.4,50.6,13.4,5.0,10.0,1.0,1.0,1.38,2.0,4.0,0.0
2,4.0,3.0,1.0,2.0,17.6,8.4,63.0,13.6,5.0,10.0,1.0,1.0,1.38,2.0,4.0,0.0
3,4.0,3.0,1.0,2.0,17.6,8.4,55.4,13.1,5.0,10.0,1.0,1.0,1.38,2.0,4.0,0.0
1479,2.0,4.0,1.0,1.0,19.6,6.6,59.6,14.8,3.0,8.0,1.0,1.0,1.69,2.0,4.0,
0,2.0,4.0,1.0,1.0,19.6,6.6,72.8,14.9,3.0,8.0,1.0,1.0,1.69,2.0,4.0,0.0
1,2.0,4.0,1.0,1.0,19.6,6.6,72.2,14.8,3.0,8.0,1.0,1.0,1.69,2.0,4.0,0.0
2,2.0,4.0,1.0,1.0,19.6,6.6,67.3,14.8,3.0,8.0,1.0,1.0,1.69,2.0,4.0,0.0
3,2.0,4.0,1.0,1.0,19.6,6.6,70.5,16.6,3.0,8.0,1.0,1.0,1.69,2.0,4.0,0.0
192,2.0,1.0,0.0,5.0,20.5,5.0,57.53,15.3,5.0,9.0,0.0,0.0,1.26,2.0,4.0,
